Time(s), Torq1(N*m), Torq2(N*m), Torq3(N*m), Tor4(N*m), Accel1(°/s^2), Accel2(°/s^2), Accel3(°/s^2), Accel4(°/s^2), Vel1(°/s), Vel2(°/s), Vel3(°/s), Vel4(°/s), Pos1(°), Pos2(°), Pos3(°), Pos4(°)
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.035,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.0696666666666668,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.104331743905242,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.139,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.173666666666665,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.208353678385303,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.243,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.277666666666708,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.312310628255208,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.347,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
0.381666666667273,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
1.89647830351315e-12,8.88178419700125e-16,5.78896539266636,-1.84573448859658,-0.111532704643323,0,0,0,0,0,0,0,0,80,0,0,0
